,smiles,name,id,inchi_key,atc
75,NC12CC3CC(CC(C3)C1)C2,amantadine,BRD-K70330367,DKNWSYNQZKUICI-UHFFFAOYSA-N,N04BB01
291,CS(=O)(=O)OCCCCOS(C)(=O)=O,busulfan,BRD-K23204545,COVZYZSDYWQREU-UHFFFAOYSA-N,L01AB01
322,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,carisoprodol,BRD-A99939097,OFZCIYFFPZCNJE-UHFFFAOYSA-N,M03BA02
491,CCN(CC)C(=O)N1CCN(C)CC1,diethylcarbamazine,BRD-K45542189,RCKMWOKWVGPNJF-UHFFFAOYSA-N,P02CB02
510,CCN(CC)C(=S)SSC(=S)N(CC)CC,disulfiram,BRD-K32744045,AUZONCFQVSMFAP-UHFFFAOYSA-N,P03AA04
550,NCCCC(N)(C(F)F)C(O)=O,eflornithine,BRD-A96292436,VLCYCQAOQCDTCN-UHFFFAOYSA-N,P01CX03
584,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,erythromycin,BRD-K63550407,ULGZDMOVFRHVEP-RWJQBGPGSA-N,J01FA01
682,NCC1(CC(O)=O)CCCCC1,gabapentin,BRD-K62737565,UGJMXCAKCUNAIE-UHFFFAOYSA-N,N03AX12
768,NC(=O)NO,hydroxyurea,BRD-K51747290,VSNHCAURESNICA-UHFFFAOYSA-N,L01XX05
814,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,inositol,BRD-K52618540,CDAISMWEOUEBRE-GPIVLXJGSA-N,A11HA07
909,CC[C@H](N1CCCC1=O)C(N)=O,levetiracetam,BRD-K49404994,HPHUVLMMVZITSG-LURJTMIESA-N,N03AX14
990,CNC1(C)C2CCC(C2)C1(C)C,mecamylamine,BRD-A20119038,IMYZQPCYWPFTAG-UHFFFAOYSA-N,C02BB01
1020,CN(C)C(=N)NC(N)=N,metformin,BRD-K79602928,XZWYZXLIPXDOLR-UHFFFAOYSA-N,A10BD23
1046,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,miglustat,BRD-K33251802,UQRORFVVSGFNRO-UTINFBMNSA-N,A16AX06
1167,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,orlistat,BRD-K63343048,AHLBNYSZXLDEJQ-FWEHEUNISA-N,A08AB01
1221,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,pentobarbital,BRD-A44448661,WEXRUCMBJFQVBZ-UHFFFAOYSA-N,N05CB01
1224,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,perhexiline,BRD-A19633847,CYXKNKQEMFBLER-UHFFFAOYSA-N,C08EX02
1264,OC(=O)[C@@H]1CSCN1C(=O)[C@@H]1CCC(=O)N1,pidotimod,BRD-K44442813,UUTKICFRNVKFRG-WDSKDSINSA-N,L03AX05
