name,atc
silicones,A03AX13
cefatrizine,J01DB07
"Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals",V09AA
urofollitropin,G03GA04
promethazine,D04AA10
pinacidil and diuretics,C02LX01
sargramostim,L03AA09
cilostazol,B01AC23
"emepronium, combinations",N05CX05
androstanolone,A14AA01
"Beta blocking agents, selective, thiazides and other diuretics",C07DB
mefenorex,A08AA09
"BACTERIAL AND VIRAL VACCINES, COMBINED",J07C
emtricitabine,J05AF09
aliskiren and amlodipine,C09XA53
imiquimod,D06BB10
THYROID THERAPY DRUGS,H03
chloroform,N01AB02
ciclonicate,C04AC07
"Sulfonamides (heterocyclic), blood glucose lowering drugs",A10BC
euflavine,D08AA03
"propyphenazone, combinations excl. psycholeptics",N02BB54
succinylsulfathiazole,A07AB04
hydrocortisone aceponate,D07AC16
"Hypnotics and sedatives in combination, excl. barbiturates",N05CX
"morphine, combinations",N02AA51
phenylbutazone,M02AA01
flumetasone and antiinfectives,S02CA02
levothyroxine sodium,H03AA01
betahistine,N07CA01
Other magnetic resonance imaging contrast media in ATC,V08CX
copper usnate,G01AX15
hexamidine,S03AA05
Occupational Activity,T057
bosutinib,L01XE14
xenon (127Xe) gas,V09EX02
theophylline,R03DA04
clobetasone,D07AB01
"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat",J05AR09
ethulose,A06AC02
Protectives against UV-radiation for systemic use,D02BB
pargyline and diuretics,C02LL01
trospium and analgesics,A03DA06
chloramphenicol,S03AA08
pyrrolnitrin,D01AA07
axitinib,L01XE17
cinepazet,C01DX14
Antiinfectives,S03AA
Other antigout preparations in ATC,M04AX
Disease or Syndrome,T047
Corticosteroid nasal preparations for topical use,R01AD
mipomersen,C10AX11
"cholera, combinations with typhoid vaccine, inactivated, whole cell",J07AE51
SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08D
bismuth subcitrate,A02BX05
"attapulgite, combinations",A07BC54
trimethyldiphenylpropylamine,A03AX30
CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01D
"multienzymes (lipase, protease etc.)",A09AA02
norgestimate and ethinylestradiol,G03AA11
polidocanol,C05BB02
buspirone,N05BE01
temocillin,J01CA17
Nitroferricyanide derivatives acting on arteriolar smooth muscle,C02DD
Salt irrigating solutions,B05CB
iodine (131I) human albumin,V09XA03
"Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",S01EC
itramin tosilate,C01DX01
dapoxetine,G04BX14
aclidinium bromide,R03BB05
losartan and amlodipine,C09DB06
magnesium peroxide,A02AA03
"diprophylline, combinations",R03DA51
Substance,T167
methoxsalen,D05BA02
"mercury, metallic",D08AK05
"Guanine derivatives, peripherally acting antiadrenergic agents",C02CC
"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",C02D
megestrol,L02AB01
nicomorphine,N02AA04
Ethers for general anesthesia,N01AA
technetium (99mTc) mertiatide,V09CA03
cilazapril,C09AA08
bifonazole,D01AC10
candesartan,C09CA06
sulglicotide,A02BX08
labetalol and thiazides,C07BG01
esketamine,N01AX14
rhenium (186Re) etidronic acid,V10BX03
hemoglobin raffimer,B05AA09
mirabegron,G04BD12
"atorvastatin, acetylsalicylic acid and ramipril",C10BX06
urokinase,B01AD04
Retinoids for treatment of psoriasis,D05BB
multienzymes and acid preparations,A09AC02
pindolol,C07AA03
tridihexethyl,A03AB08
tioconazole,D01AC07
Barium sulfate containing X-ray contrast media,V08BA
valaciclovir,J05AB11
choline fenofibrate,C10AB11
g-strophanthin,C01AC01
DIAGNOSTIC AGENTS,V04
"dipyrocetyl, combinations with psycholeptics",N02BA79
"reserpine and diuretics, combinations with psycholeptics",C02LA71
"esomeprazole, amoxicillin and clarithromycin",A02BD06
methohexital,N05CA15
formestane,L02BG02
"phenylpropanolamine, combinations",R01BA51
maribavir,J05AX10
"estradiol, combinations",G03CA53
salbutamol,R03AC02
anthrax immunoglobulin,J06BB19
bevantolol and thiazides,C07BB06
ethyl hydroxybenzoate,D01AE10
"Tertiary amines, anticholinergic",N04AA
Low-ceiling diuretics and potassium-sparing agents,C03EA
temafloxacin,J01MA05
nitrofural,S01AX04
diphenhydramine,R06AA02
dofetilide,C01BD04
Solutions producing osmotic diuresis,B05BC
aurothioglucose,M01CB04
cholic acid,A05AA03
"glycobiarsol, combinations",P01AR53
tacrine,N06DA01
epinephrine,A01AD01
ethambutol,J04AK02
lonazolac,M01AB09
norgestrel and estrogen,G03FB01
Antacids with sodium bicarbonate,A02AH
levodropropizine,R05DB27
cloxazolam,N05BA22
blinatumomab,L01XC19
OTHER COLD PREPARATIONS in ATC,R05X
vorozole,L02BG05
ANABOLIC STEROIDS,A14A
"Nicotinic acid and derivatives, lipid modifying, plain",C10AD
sodium borate,S01AX07
dexetimide,N04AA08
mitoguazone,L01XX16
estradiol,G03CA03
methyltestosterone and estrogen,G03EA01
altretamine,L01XX03
niclosamide,P02DA01
Machine Activity,T066
bedaquiline,J04AK05
Tumor necrosis factor alpha (TNF-) inhibitors,L04AB
eszopiclone,N05CF04
Sign or Symptom,T184
"LIPID MODIFYING AGENTS, PLAIN",C10A
Calcium channel blockers and diuretics,C08GA
Corticosteroids,S02BA
amino(diphenylhydantoin) valeric acid,N03AB03
idoxuridine,D06BB01
droperidol,N05AD08
"Vitamin B1, plain",A11DA
lormetazepam,N05CD06
propenidazole,G01AF14
fusidic acid,J01XC01
Chemical,T103
propamidine,D08AC03
sulfamethoxazole and trimethoprim,J01EE01
picodralazine and diuretics,C02LG03
megestrol and estrogen,G03FB04
calcium hexamine thiocyanate,R01AX01
thiamphenicol,J01BA02
methylpentynol,N05CM15
ulipristal,G03XB02
ephedrine,S01FB02
"varicella, live attenuated",J07BK01
"Opium alkaloids and derivatives, cough suppressants",R05DA
oxiconazole,G01AF17
bromocriptine,G02CB01
dexmedetomidine,N05CM18
"Imidazole derivatives, antimycotic for systemic use",J02AB
cefotaxime,J01DD01
furazolidone,G01AX06
OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM in ATC,M09A
chlorotrianisene,G03CA06
etifoxine,N05BX03
insulin (pork),A10AC03
ixazomib,L01XX50
OTHER CARDIAC PREPARATIONS in ATC,C01E
calcium aminosalicylate,J04AA03
norethisterone and ethinylestradiol,G03AB04
palivizumab,J06BB16
apixaban,B01AF02
calcium iopodate,V08AC10
calcium chloride,B05XA07
atorvastatin and amlodipine,C10BX03
"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H
streptokinase,B01AD01
"troxerutin, combinations",C05CA54
sulfamethizole,B05CA04
dienogest and ethinylestradiol,G03AA16
desloratadine,R06AX27
aminolevulinic acid,L01XD04
paclitaxel,L01CD01
prednisolone,R01AD02
Peroxide anti-acne preparations for topical use,D10AE
dexpanthenol,S01XA12
dibromotyrosine,H03BX02
darbepoetin alfa,B03XA02
diiodohydroxypropane,D08AG04
Cell Component,T026
"Preparations with salicylic acid derivatives, topical for joint and muscle pain",M02AC
codeine and other non-opioid analgesics,N02AJ09
"Parasympathomimetics, antiglaucoma preparations and miotics",S01EB
talinolol,C07AB13
"phenothrin, combinations",P03AC53
insulin (pork),A10AE03
thymopentin,L03AX09
Glucocorticoid inhalants for obstructive airway disease,R03BA
nimustine,L01AD06
"papillomavirus (human types 6, 11, 16, 18)",J07BM01
OPHTHALMOLOGICALS,S01
pegloticase,M04AX02
ciprofloxacin and metronidazole,J01RA10
nitrofurantoin,J01XE01
sodium iothalamate (125I),V09CX03
benzoctamine,N05BD01
dutasteride,G04CB02
aztreonam,J01DF01
sertraline,N06AB06
afamelanotide,D02BB02
PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03
"streptomycin, combinations",A07AA54
alemtuzumab,L04AA34
diclofenamide,S01EC02
mesna,R05CB05
phentolamine,V03AB36
ferrous carbonate,B03AA04
ascorbic acid,S01XA15
benzylpenicillin,S01AA14
periciazine,N05AC01
Other central nervous system diagnostic radiopharmaceuticals in ATC,V09AX
neomycin,J01GB05
benzoxonium chloride,D08AJ05
Serotonin antagonists and diuretics,C02LN
bevonium and analgesics,A03DA03
rosiglitazone,A10BG02
vinyl ether,N01AA02
erythromycin,S01AA17
domiodol,R05CB08
fosfestrol,L02AA04
betamethasone and mydriatics,S01BB04
Other aminoglycosides in ATC,J01GB
oleandomycin,J01FA05
sisomicin,J01GB08
capsaicin,N01BX04
Mucolytics,R05CB
gonadorelin,H01CA01
guanethidine,C02CC02
fenpiverinium,A03AB21
tazarotene,D05AX05
prazosin,C02CA01
"folic acid, combinations",B03BB51
butylscopolamine,A03BB01
Plant,T002
migalastat,A16AX14
fat emulsions,B05BA02
moroxydine,J05AX01
corifollitropin alfa,G03GA09
dextrothyroxine,C10AX01
"ACE INHIBITORS, COMBINATIONS",C09B
Iron in combination with folic acid,B03AD
IMMUNE SERA SYSTEMIC ANTIINFECTIVES,J06A
cefprozil,J01DC10
fluocortolone and antiseptics,D07BC03
Other antipsoriatics for topical use in ATC,D05AX
technetium (99mTc) pentavalent succimer,V09IA03
"Xanthine derivatives, low-ceiling diuretics",C03BD
deferiprone,V03AC02
cyclizine,R06AE03
Other hem products in ATC,B06AB
"lactic acid producing organisms, combinations",A07FA51
ALL OTHER NON-THERAPEUTIC PRODUCTS,V07
thioctic acid,A16AX01
metoprolol and amlodipine,C07FB13
Conceptual Entity,T077
flumetasone,D07XB01
gliquidone,A10BB08
Aminosalicylic acid and similar agents,A07EC
dexamethasone,D07AB19
flumetasone,D07AB03
magnesium pidolate,A12CC08
halazepam,N05BA13
Tetracyclines,J01AA
rolapitant,A04AD14
Phenomenon or Process,T067
doxazosin,C02CA04
imiglucerase,A16AB02
clofenamide and potassium,C03BB07
interferon,S01AD05
"hepatitis A, inactivated, whole virus",J07BC02
Other antidiarrheals in ATC,A07XA
cloprednol,H02AB14
drotaverine,A03AD02
fumagillin,P01AX10
amphotericin B,A07AA07
"ethenzamide, combinations excl. psycholeptics",N02BA57
linaclotide,A06AX04
scopolamine,A04AD01
amphotericin B,G01AA03
ambenonium,N07AA30
fluoxetine,N06AB03
methyldopa (racemic),C02AB02
"bismuth preparations, combinations",C05AX02
"calcipotriol, combinations",D05AX52
"Alkaloids, excl. rauwolfia, antihypertensives",C02KA
metformin and linagliptin,A10BD11
mesuximide,N03AD03
cyclopenthiazide,C03AA07
bisacodyl,A06AB02
magnesium (different salts in combination),A12CC30
reboxetine,N06AX18
technetium (99mTc) arcitumomab,V09IA06
butriptyline,N06AA15
metformin and vildagliptin,A10BD08
Antibiotics for systemic use,J02AA
clofoctol,J01XX03
glucose,V04CA02
Virus,T005
benzathine benzylpenicillin,J01CE08
Iodine therapy,H03CA
cinitapride,A03FA08
ritodrine,G02CA01
sevelamer,V03AE02
profenamine,N04AA05
perazine,N05AB10
nicotine,N07BA01
fluorometholone,D10AA01
cediranib,L01XE32
betaine hydrochloride,A09AB02
