smiles,name,id,inchi_key,atc
CCN(CC)CCCCN1C2CCCCC2OC2CCC(CL)CC12,10-DEBC,BRD-K70792160,GYBXAGDWMCJZJK-UHFFFAOYSA-N,
CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O,phorbol-myristate-acetate,BRD-K68552125,PHEDXBVPIONUQT-RGYGYFBISA-N,
CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,"16,16-dimethylprostaglandin-e2",BRD-K92301463,QAOBBBBDJSWHMU-WMBBNPMCSA-N,
CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O,17-hydroxyprogesterone-caproate,BRD-A29731977,DOMWKUIIPQCAJU-JKPPDDDBSA-N,
OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12,2-iminobiotin,BRD-K07954936,WWVANQJRLPIHNS-ZKWXMUAHSA-N,
COC1CC2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCC2CC1O,2-methoxyestradiol,BRD-K44408410,CQOQDQWUFQDJMK-SSTWWWIQSA-N,
CC1OC(CC1O)N1CNC2C(N)NCNC12,"2',5'-dideoxyadenosine",BRD-A20131130,FFHPXOJTVQDVMO-UHFFFAOYSA-N,
NC(=O)C1CCCC(N)C1,3-amino-benzamide,BRD-K08703257,GSCPDZHWVNUUFI-UHFFFAOYSA-N,
NC1NCCC2N(CNC12)[C@@H]1O[C@H](CO)C(O)C1O,3-deazaadenosine,BRD-A79431551,DBZQFUNLCALWDY-JXACCQRMSA-N,
C(C1C[NH]C2CCCCC12)C1C[NH]C2CCCCC12,"3,3'-diindolylmethane",BRD-K37846922,VFTRKSBEFQDZKX-UHFFFAOYSA-N,
BRC1C(BR)C(BR)C2[NH]NNC2C1BR,"4,5,6,7-tetrabromobenzotriazole",BRD-K97118047,OMZYUVOATZSGJY-UHFFFAOYSA-N,
NCC(=O)CCC(O)=O,5-aminolevulinic-acid,BRD-K57631554,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,
FC1C[NH]C(=O)[NH]C1=O,fluorouracil,BRD-K24844714,GHASVSINZRGABV-UHFFFAOYSA-N,L01BC02
CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,A-443654,BRD-K88573743,YWTBGJGMTBHQTM-IBGZPJMESA-N,
CC1NC(NC(=O)N2CCC[C@H]2C(N)=O)SC1-C1CSC(N1)C(C)(C)C,A-66,BRD-K49055432,HBPXWEPKNBHKAX-NSHDSACASA-N,
OC1CCCCC1-C1CCC(CC1)-C1CSC2[NH]C(=O)C(C#N)C(O)C12,A-769662,BRD-K41918892,CTESJDQKVOEUOY-UHFFFAOYSA-N,
NC1NC(NC2CC2)C2NCN(C3C[C@H](CO)C=C3)C2N1,abacavir,BRD-A95032015,MCGSCOLBFJQGHM-HNHGDDPOSA-N,J05AF06
CC(=O)O[C@H]1CC[C@]2(C)[C@@H]3CC[C@@]4(C)[C@@H](CC=C4C4CCCNC4)[C@H]3CC=C2C1,abiraterone-acetate,BRD-K16133773,UVIQSJCZCSLXRZ-HCWFNAMGSA-N,
NC1CCN(C1)C1CCCNC1,ABT-202,BRD-A29844814,LVGMMVAWLISWJD-UHFFFAOYSA-N,
C[C@@H]1CCCN1CCC1CC2CC(CCC2O1)-C1CCC(CC1)C#N,ABT-239,BRD-K22749967,KFHYZKCRXNRKRC-MRXNPFEDSA-N,
C(N1CCN(CC1)C1CCCCN1)C1NC2CCCCC2[NH]1,ABT-724,BRD-K37714784,FRPJGTNLZNXQEX-UHFFFAOYSA-N,
CN(C)CC[C@H](CSC1CCCCC1)NC1CCC(CC1[N+]([O-])=O)S(=O)(=O)NC(=O)C1CCC(CC1)N1CCN(CC2CCCCC2-C2CCC(CL)CC2)CC1,ABT-737,BRD-K56301217,HPLNQCPCUACXLM-PGUFJCEWSA-N,
C[C@@H]1O[C@H](O[C@@H]2[C@H](CO)O[C@H](O[C@@H]3[C@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@@H]1O,acarbose,BRD-K01621533,XUFXOAAUWZOOIT-PCKYEMPFSA-N,A10BF01
CCCC(=O)NC1CCC(OCC(O)CNC(C)C)C(C1)C(C)=O,acebutolol,BRD-A29260609,GOEMGAFJFRBGGG-UHFFFAOYSA-N,C07AB04
