name,atc,inchi_key,smiles
lepirudin,B01AE02,,
cetuximab,L01XC06,,
dornase alfa,R05CB13,,
denileukin diftitox,L01XX29,,
etanercept,L04AB01,,
bivalirudin,B01AE06,OIRCOABEOLEUMC-GEJPAHFPSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O
leuprolide,L02AE51,,
peginterferon alfa-2a,L03AB11,,
alteplase,B01AD02,,
sermorelin,V04CD03,,
interferon alfa-n1,L03AB06,,
darbepoetin alfa,B03XA02,,
urokinase,B01AD04,,
goserelin,L02AE03,BLCLNMBMMGCOAS-URPVMXJPSA-N,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O
reteplase,B01AD07,,
erythropoietin,B03XA01,,
salmon calcitonin,H05BA01,,
interferon alfa-n3,,,
pegfilgrastim,L03AA13,,
sargramostim,L03AA09,,
peginterferon alfa-2b,L03AB10,,
asparaginase escherichia coli,L01XX02,,
thyrotropin alfa,H01AB01,,
"antihemophilic factor, human recombinant",B02BD02,,
anakinra,L04AC03,,
