inchi_key,level1,level2,level3,level4,level5,name,smiles
IETKPTYAGKZLKY-UHFFFAOYSA-N,,,,,,Balaglitazone,CN1C(COC2CCC(CC3SC(=O)NC3=O)CC2)NC2CCCCC2C1=O
QHMWCHQXCUNUAK-UHFFFAOYSA-N,G,G01,G01A,G01AF,G01AF18,Flutrimazole,FC1CCC(CC1)C(C1CCCCC1)(C1CCCCC1F)N1CCNC1
FOLRUCXBTYDAQK-SFZUHQLGSA-N,,,,,,,OC1O[C@@H]2COC(O[C@H]2[C@H](O)[C@H]1O)C1CCCCC1
YSXKPIUOCJLQIE-UHFFFAOYSA-N,N,N04,N04A,N04AA,N04AA02,Biperiden,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1CCCCC1
METQSPRSQINEEU-GGORKCOASA-N,,,,,,,C[C@]12CCC3C([C@H]4C[C@H]4C4=CC(=O)CC[C@]34C)C1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1
LEBVLXFERQHONN-UHFFFAOYSA-N,N,N01,N01B,N01BB,N01BB01,Bupivacaine,CCCCN1CCCCC1C(=O)NC1C(C)CCCC1C
QKACJXUOZWIRSN-RSNVXJODSA-N,,,,,,,CC(=CC[C@@H](C[C@]12C[C@H](C([C@](C1=O)(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C2=O)CC=C(C)C)(C)C)C=C(C)C)C(=C)C)C
HRRBJVNMSRJFHQ-UHFFFAOYSA-N,,,,,,Naftopidil,COC1CCCCC1N1CCN(CC(O)COC2CCCC3CCCCC23)CC1
PVHUJELLJLJGLN-UHFFFAOYSA-N,C,C08,C08C,C08CA,C08CA08,Nitrendipine,CCOC(=O)C1=C(C)NC(C)=C(C1C1CCCC(C1)[N+]([O-])=O)C(=O)OC
BFPYWIDHMRZLRN-OQPPHWFISA-N,,,,,,,C[C@]12CCC3C(CCC4CC(O)CCC34)C1CC[C@@]2(O)C#C
JLICHNCFTLFZJN-UHFFFAOYSA-N,N,N02,N02A,N02AX,N02AX05,Meptazinol,CCC1(CCCCN(C)C1)C1CCCC(O)C1
KSMAGQUYOIHWFS-UHFFFAOYSA-N,N,N07,N07B,N07BC,N07BC04,Lofexidine,CC(OC1C(CL)CCCC1CL)C1=NCCN1
KSEYRUGYKHXGFW-UHFFFAOYSA-N,A,A03,A03F,A03FA,A03FA05,Alizapride,COC1CC2[NH]NNC2CC1C(=O)NCC1CCCN1CC=C
INWLQCZOYSRPNW-UHFFFAOYSA-N,N,N01,N01B,N01BB,N01BB53,Mepivacaine,CN1CCCCC1C(=O)NC1C(C)CCCC1C
VWUXBMIQPBEWFH-LQKBAPIOSA-N,,,,,,,C[C@]12CC[C@H]3C([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1CC(O)CCC31
LHGWWAFKVCIILM-LAQKFSSHSA-N,,,,,,,CC[C@@H](C)NC1CC(C(=O)NC2CC3CCC(C2)N3C2CCC(CN2)C(=O)C2CC2)C(C)CC1C(N)=O
IUBSYMUCCVWXPE-UHFFFAOYSA-N,C,C07,C07F,C07FB,C07FB02,Metoprolol,COCCC1CCC(OCC(O)CNC(C)C)CC1
GSNHKUDZZFZSJB-ILVMPNSOSA-N,,,,,,,CC(C)C1NNC(C)N1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)C1CCCCC1
SOYKEARSMXGVTM-UHFFFAOYSA-N,R,R06,R06A,R06AB,R06AB54,Chlorphenamine,CN(C)CCC(C1CCC(CL)CC1)C1CCCCN1
SNPPWIUOZRMYNY-UHFFFAOYSA-N,A,A08,A08A,A08AA,A08AA62,Bupropion,CC(NC(C)(C)C)C(=O)C1CCCC(CL)C1
NSMXQKNUPPXBRG-UHFFFAOYSA-N,,,,,,,CC(O)CCCCN1C(=O)N(C)C2NCN(C)C2C1=O
ZFLWDHHVRRZMEI-UHFFFAOYSA-N,,,,,,,COC(=O)C1=C(C)NC(C)=C(C1C1CCCCC1C(F)(F)F)[N+]([O-])=O
