pert_id,canonical_smiles,inchi_key,pert_iname,pert_type
BRD-K70792160,CCN(CC)CCCCN1C2CCCCC2OC2CCC(CL)CC12,GYBXAGDWMCJZJK-UHFFFAOYSA-N,10-DEBC,trt_cp
BRD-K68552125,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O,PHEDXBVPIONUQT-RGYGYFBISA-N,phorbol-myristate-acetate,trt_cp
BRD-K92301463,CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,QAOBBBBDJSWHMU-WMBBNPMCSA-N,"16,16-dimethylprostaglandin-e2",trt_cp
BRD-A29731977,CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O,DOMWKUIIPQCAJU-JKPPDDDBSA-N,17-hydroxyprogesterone-caproate,trt_cp
BRD-K07954936,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12,WWVANQJRLPIHNS-ZKWXMUAHSA-N,2-iminobiotin,trt_cp
BRD-K44408410,COC1CC2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCC2CC1O,CQOQDQWUFQDJMK-SSTWWWIQSA-N,2-methoxyestradiol,trt_cp
BRD-A20131130,CC1OC(CC1O)N1CNC2C(N)NCNC12,FFHPXOJTVQDVMO-UHFFFAOYSA-N,"2',5'-dideoxyadenosine",trt_cp
BRD-K08703257,NC(=O)C1CCCC(N)C1,GSCPDZHWVNUUFI-UHFFFAOYSA-N,3-amino-benzamide,trt_cp
BRD-A79431551,NC1NCCC2N(CNC12)[C@@H]1O[C@H](CO)C(O)C1O,DBZQFUNLCALWDY-JXACCQRMSA-N,3-deazaadenosine,trt_cp
BRD-K37846922,C(C1C[NH]C2CCCCC12)C1C[NH]C2CCCCC12,VFTRKSBEFQDZKX-UHFFFAOYSA-N,"3,3'-diindolylmethane",trt_cp
BRD-K97118047,BRC1C(BR)C(BR)C2[NH]NNC2C1BR,OMZYUVOATZSGJY-UHFFFAOYSA-N,"4,5,6,7-tetrabromobenzotriazole",trt_cp
BRD-K57631554,NCC(=O)CCC(O)=O,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,5-aminolevulinic-acid,trt_cp
BRD-K24844714,FC1C[NH]C(=O)[NH]C1=O,GHASVSINZRGABV-UHFFFAOYSA-N,fluorouracil,trt_cp
BRD-K88573743,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,YWTBGJGMTBHQTM-IBGZPJMESA-N,A-443654,trt_cp
BRD-K49055432,CC1NC(NC(=O)N2CCC[C@H]2C(N)=O)SC1-C1CSC(N1)C(C)(C)C,HBPXWEPKNBHKAX-NSHDSACASA-N,A-66,trt_cp
BRD-K41918892,OC1CCCCC1-C1CCC(CC1)-C1CSC2[NH]C(=O)C(C#N)C(O)C12,CTESJDQKVOEUOY-UHFFFAOYSA-N,A-769662,trt_cp
BRD-A95032015,NC1NC(NC2CC2)C2NCN(C3C[C@H](CO)C=C3)C2N1,MCGSCOLBFJQGHM-HNHGDDPOSA-N,abacavir,trt_cp
BRD-K16133773,CC(=O)O[C@H]1CC[C@]2(C)[C@@H]3CC[C@@]4(C)[C@@H](CC=C4C4CCCNC4)[C@H]3CC=C2C1,UVIQSJCZCSLXRZ-HCWFNAMGSA-N,abiraterone-acetate,trt_cp
BRD-A29844814,NC1CCN(C1)C1CCCNC1,LVGMMVAWLISWJD-UHFFFAOYSA-N,ABT-202,trt_cp
BRD-K22749967,C[C@@H]1CCCN1CCC1CC2CC(CCC2O1)-C1CCC(CC1)C#N,KFHYZKCRXNRKRC-MRXNPFEDSA-N,ABT-239,trt_cp
BRD-K37714784,C(N1CCN(CC1)C1CCCCN1)C1NC2CCCCC2[NH]1,FRPJGTNLZNXQEX-UHFFFAOYSA-N,ABT-724,trt_cp
BRD-K56301217,CN(C)CC[C@H](CSC1CCCCC1)NC1CCC(CC1[N+]([O-])=O)S(=O)(=O)NC(=O)C1CCC(CC1)N1CCN(CC2CCCCC2-C2CCC(CL)CC2)CC1,HPLNQCPCUACXLM-PGUFJCEWSA-N,ABT-737,trt_cp
BRD-K01621533,C[C@@H]1O[C@H](O[C@@H]2[C@H](CO)O[C@H](O[C@@H]3[C@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@@H]1O,XUFXOAAUWZOOIT-PCKYEMPFSA-N,acarbose,trt_cp
BRD-A29260609,CCCC(=O)NC1CCC(OCC(O)CNC(C)C)C(C1)C(C)=O,GOEMGAFJFRBGGG-UHFFFAOYSA-N,acebutolol,trt_cp
BRD-K07753030,CCN(CC)CCNC(=O)C1CCC(NC(C)=O)CC1,KEECCEWTUVWFCV-UHFFFAOYSA-N,acecainide,trt_cp
BRD-A65051990,CC(=O)CC(C1CCC(CC1)[N+]([O-])=O)C1C(O)C2CCCCC2OC1=O,VABCILAOYCMVPS-UHFFFAOYSA-N,acenocoumarol,trt_cp
BRD-K43457670,CC(=O)NC1NNC(S1)S(N)(=O)=O,BZKPWHYZMXOIDC-UHFFFAOYSA-N,acetazolamide,trt_cp
BRD-K67174965,CC(=O)N[C@H](CS)C(O)=O,PWKSKIMOESPYIA-SCSAIBSYSA-N,acetylcysteine,trt_cp
BRD-K72215350,CC(=O)NCCCCCC(O)=O,WDSCBUNMANHPFH-UHFFFAOYSA-N,acexamic-acid,trt_cp
BRD-A29520968,CC1(OC(=CC1=O)C(O)=O)C1CCCCC1,DFDGRKNOFOJBAJ-UHFFFAOYSA-N,acifran,trt_cp
BRD-K63736853,CC1CNC(C[N+]1[O-])C(O)=O,DJQOOSBJCLSSEY-UHFFFAOYSA-N,acipimox,trt_cp
BRD-K13050541,N[C@H]([C@@H]1CC(CL)=NO1)C(O)=O,QAWIHIJWNYOLBE-ZAFYKAAXSA-N,acivicin,trt_cp
BRD-K74363950,OC(C(=O)O[C@H]1C[N+]2(CCCOC3CCCCC3)CCC1CC2)(C1CCCS1)C1CCCS1,ASMXXROZKSBQIH-VITNCHFBSA-N,aclidinium,trt_cp
BRD-K50163129,CC1CCC(CC1)C(=C/CN1CCCC1)\C1CCCC(\C=C\C(O)=O)N1,PWACSDKDOHSSQD-IUTFFREVSA-N,acrivastine,trt_cp
BRD-K33483813,CC(=O)NC1CCC(CC(O)=O)CC1,MROJXXOCABQVEF-UHFFFAOYSA-N,actarit,trt_cp
BRD-K82928847,ONC(=O)CCCCCCNC(=O)C1CNC(NC1)N(C1CCCCC1)C1CCCCC1,QGZYDVAGYRLSKP-UHFFFAOYSA-N,ACY-1215,trt_cp
BRD-K32318651,NC1NC2N(COCCO)CNC2C(=O)[NH]1,MKUXAQIIEYXACX-UHFFFAOYSA-N,acyclovir,trt_cp
BRD-K33127281,COC1CCC(CC1C12CC3CC(CC(C3)C1)C2)-C1CCC2CC(CCC2C1)C(O)=O,LZCDAPDGXCYOEH-UHFFFAOYSA-N,adapalene,trt_cp
BRD-K00152668,OC(=O)\C=C\C1CCC(CC1)-C1CCC(O)C(C1)C12CC3CC(CC(C3)C1)C2,QAWBIEIZDDIEMW-FPYGCLRLSA-N,adarotene,trt_cp
BRD-K67789209,O=C(NCCN1CCN(CC1)C1NCCCN1)C12CC3CC(CC(C3)C1)C2,HPFLVTSWRFCPCV-UHFFFAOYSA-N,adatanserin,trt_cp
BRD-K01577834,NC1NCNC2N(CNC12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OIRDTQYFTABQOQ-KQYNXXCUSA-N,adenosine,trt_cp
BRD-K34870043,FC1CCC(CC1)-C1CNCC(CN2CCN(CC2)C2CCCC3OCCOC23)C1,IUVSEUFHPNITEQ-UHFFFAOYSA-N,adoprazine,trt_cp
BRD-K40718343,CCN1CCN(CC2CCC(CC2)-C2CC3C(N[C@H](C)C4CCCCC4)NCNC3[NH]2)CC1,OONFNUWBHFSNBT-HXUWFJFHSA-N,AEE-788,trt_cp
BRD-K66175015,CN(C)C\C=C\C(=O)NC1CC2C(NC3CCC(F)C(CL)C3)NCNC2CC1O[C@H]1CCOC1,ULXXDDBFHOBEHA-CWDCEQMOSA-N,afatinib,trt_cp
BRD-A58767537,CN(C)C\C=C\C(=O)NC1CC2C(NC3CCC(F)C(CL)C3)NCNC2CC1OC1CCOC1,ULXXDDBFHOBEHA-ONEGZZNKSA-N,afatinib,trt_cp
BRD-K69247067,CC1CCCCC1-N1C(CF)NC2CCC(N)CC2C1=O,VDOSWXIDETXFET-UHFFFAOYSA-N,afloqualone,trt_cp
BRD-A56371469,CC1NCCN1CC(=O)N(C(C(=O)NC1CCCCC1)C1CCCCC1C)C1CCCC(F)C1,FNYGWXSATBUBER-UHFFFAOYSA-N,AGI-5198,trt_cp
BRD-K04691817,FC(F)(F)C1CCCC(NC(=O)NC2CC(CCC2-C2CCSC2)S(=O)(=O)NC2CC2)C1,CCAWRGNYALGPQH-UHFFFAOYSA-N,AGI-6780,trt_cp
