inchi_key,level1,level2,level3,level4,level5,name,pert_id,smiles
,D,D0,D01,D01AC,D01AC16,flutrimazole,BRD-A00218260,
,N,N0,N04,N04AA,N04AA02,biperiden,BRD-A00546892,
,G,G0,G03,G03AC,G03AC10,drospirenone,BRD-A00938334,
,N,N0,N01,N01BB,N01BB01,bupivacaine,BRD-A01636364,
,C,C0,C08,C08CA,C08CA08,nitrendipine,BRD-A02006392,
,N,N0,N02,N02AX,N02AX05,meptazinol,BRD-A02710418,
,N,N0,N07,N07BC,N07BC04,lofexidine,BRD-A02990301,
,A,A0,A03,A03FA,A03FA05,alizapride,BRD-A03061970,
,N,N0,N01,N01BB,N01BB03,mepivacaine,BRD-A03216249,
,L,L0,L02,L02BA,L02BA03,fulvestrant,BRD-A03249105,
,C,C0,C07,C07AB,C07AB02,metoprolol,BRD-A03623303,
,J,J0,J05,J05AX,J05AX09,maraviroc,BRD-A04352665,
,R,R0,R06,R06AB,R06AB04,chlorphenamine,BRD-A04553218,
,N,N0,N06,N06AX,N06AX12,bupropion,BRD-A05186015,
,L,L0,L01,L01CD,L01CD02,docetaxel,BRD-A05821830,
,C,C0,C07,C07AB,C07AB09,esmolol,BRD-A07395371,
,C,C0,C07,C07AG,C07AG01,labetalol,BRD-A07440155,
,C,C0,C07,C07AA,C07AA17,bopindolol,BRD-A07563059,
,A,A0,A07,A07XA,A07XA04,racecadotril,BRD-A08187463,
,A,A0,A01,A01AB,A01AB22,doxycycline,BRD-A08545410,
,C,C0,C01,C01BC,C01BC04,flecainide,BRD-A09472452,
,C,C0,C08,C08DA,C08DA01,verapamil,BRD-A09533288,
,B,B0,B01,B01AE,B01AE03,argatroban,BRD-A10012892,
,J,J0,J05,J05AE,J05AE09,tipranavir,BRD-A10039652,
,C,C0,C07,C07AA,C07AA05,propranolol,BRD-A10070317,
,A,A0,A04,A04AA,A04AA02,granisetron,BRD-A10967948,
,C,C0,C07,C07AG,C07AG02,carvedilol,BRD-A10977446,
