Num of parameters,Depth,K,Embedding length,Model name,Embedding name,top 0.0001,top 0.001,top 0.01,top 0.05,top 0.1,top 0.2,top 0.3,median,auc
101550,4,25,4,MOD_snn_4_25_4-50,EMB_snn_4_25_4-50,0.032275613,0.049682778,0.150238516,0.388539232,0.537603261,0.708682498,0.807295926,0.133357241,0.82632276
101550,4,25,4,MOD_snn_4_25_4-75,EMB_snn_4_25_4-75,0.038474427,0.059858304,0.173283227,0.411300176,0.554604593,0.70702743,0.790112605,0.142705351,0.82071337
101550,4,25,4,MOD_snn_4_25_4-100,EMB_snn_4_25_4-100,0.034308325,0.058451499,0.180094572,0.423644527,0.563507843,0.716289346,0.8035551,0.137493121,0.8253938
101550,4,25,6,MOD_snn_4_25_6-50,EMB_snn_4_25_6-50,0.044708544,0.073333664,0.224451068,0.506065696,0.663831972,0.808998898,0.878495106,0.084418713,0.878295307
101550,4,25,6,MOD_snn_4_25_6-75,EMB_snn_4_25_6-75,0.045823474,0.074173587,0.211607033,0.480277421,0.63526444,0.780629546,0.852098161,0.099811758,0.859727972
101550,4,25,6,MOD_snn_4_25_6-100,EMB_snn_4_25_6-100,0.046727309,0.073510507,0.208205201,0.467838672,0.617678534,0.768264966,0.842413238,0.105211767,0.853252635
101550,4,25,8,MOD_snn_4_25_8-50,EMB_snn_4_25_8-50,0.04506829,0.068170672,0.167975418,0.363723131,0.477338482,0.592212713,0.660731192,0.244577821,0.736967994
101550,4,25,8,MOD_snn_4_25_8-75,EMB_snn_4_25_8-75,0.045458151,0.066311918,0.167167683,0.363421169,0.482911748,0.602330751,0.672032009,0.235035808,0.74324703
101550,4,25,8,MOD_snn_4_25_8-100,EMB_snn_4_25_8-100,0.045397285,0.064255378,0.156537541,0.348426606,0.459823983,0.577015714,0.646320047,0.254550958,0.727444714
101550,4,25,16,MOD_snn_4_25_16-50,EMB_snn_4_25_16-50,0.091952417,0.144138672,0.331213444,0.597624388,0.716993042,0.817340727,0.870167285,0.074939725,0.883766495
101550,4,25,16,MOD_snn_4_25_16-75,EMB_snn_4_25_16-75,0.088203565,0.135331193,0.334813033,0.61666135,0.74735387,0.847654303,0.894284205,0.059053952,0.900190846
101550,4,25,16,MOD_snn_4_25_16-100,EMB_snn_4_25_16-100,0.082478403,0.126359023,0.3011667,0.577768563,0.714447624,0.819499779,0.871053533,0.072291379,0.882473404
101550,4,25,32,MOD_snn_4_25_32-50,EMB_snn_4_25_32-50,0.081209234,0.126116806,0.312490636,0.588325516,0.725995206,0.841604897,0.896164959,0.058229579,0.897178807
101550,4,25,32,MOD_snn_4_25_32-75,EMB_snn_4_25_32-75,0.083750137,0.135292989,0.313272941,0.581310783,0.715655733,0.834758138,0.889261157,0.062396027,0.89388359
101550,4,25,32,MOD_snn_4_25_32-100,EMB_snn_4_25_32-100,0.079277488,0.124510397,0.302438351,0.582625956,0.720110115,0.837863108,0.891013901,0.063863569,0.894208354
97920,8,12,4,MOD_snn_8_12_4-50,EMB_snn_8_12_4-50,0.03416127,0.053236866,0.16675054,0.442987038,0.609501445,0.757365642,0.829386116,0.115770859,0.844597056
97920,8,12,4,MOD_snn_8_12_4-75,EMB_snn_8_12_4-75,0.035211608,0.055812029,0.170631152,0.434398783,0.604345821,0.747857026,0.811745492,0.125463932,0.833997163
97920,8,12,4,MOD_snn_8_12_4-100,EMB_snn_8_12_4-100,0.033988506,0.054447059,0.172620308,0.442282419,0.6070982,0.750765976,0.819831296,0.120229718,0.837191658
