layer,neurons per layer,embedding lengths,dropout,samples per perturbagen,model name,embedding name,top 0.0001,top 0.001,top 0.01,top 0.05,top 0.1,top 0.2,top 0.3,median,auc
3,256,8,0.5,8,MOD_triplet_3_256_8_0.5_50-50,EMB_triplet_3_256_8_0.5_50-50,0.06557737,0.102291273,0.198758011,0.263957262,0.336470643,0.481883003,0.62368471,0.239489113,0.752266689
3,256,8,0.5,8,MOD_triplet_3_256_8_0.5_50-100,EMB_triplet_3_256_8_0.5_50-100,0.08303807,0.133126602,0.217664359,0.280836154,0.349165501,0.490632064,0.636531509,0.241477976,0.757488551
3,256,8,0.5,8,MOD_triplet_3_256_8_0.5_100-50,EMB_triplet_3_256_8_0.5_100-50,0.128026801,0.160314325,0.212163809,0.256627271,0.303809752,0.408518549,0.51415205,0.344087105,0.657289007
3,256,8,0.5,8,MOD_triplet_3_256_8_0.5_100-100,EMB_triplet_3_256_8_0.5_100-100,0.087549454,0.118980449,0.192223184,0.256175886,0.317096831,0.420187804,0.527601837,0.334370314,0.664891628
3,256,8,0.9,8,MOD_triplet_3_256_8_0.9_50-50,EMB_triplet_3_256_8_0.9_50-50,0.121775513,0.15779729,0.22359644,0.332347365,0.434175819,0.64414703,0.796554316,0.190525847,0.806009101
3,256,8,0.9,8,MOD_triplet_3_256_8_0.9_50-100,EMB_triplet_3_256_8_0.9_50-100,0.04624036,0.064353542,0.151224161,0.320979696,0.466573032,0.666500439,0.808457966,0.174500413,0.805923048
3,256,8,0.9,8,MOD_triplet_3_256_8_0.9_100-50,EMB_triplet_3_256_8_0.9_100-50,0.133057364,0.154538434,0.189492805,0.232876271,0.286572734,0.397762683,0.504876928,0.345180416,0.65081013
3,256,8,0.9,8,MOD_triplet_3_256_8_0.9_100-100,EMB_triplet_3_256_8_0.9_100-100,0.02863164,0.039497514,0.076360117,0.162588663,0.246217817,0.391738166,0.515950258,0.333010482,0.655811929
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_50-50,EMB_triplet_3_256_16_0.5_50-50,0.198993999,0.201905072,0.220368888,0.299661317,0.404539893,0.618577741,0.765507655,0.192948638,0.800898642
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_50-100,EMB_triplet_3_256_16_0.5_50-100,0.1867542,0.204067711,0.224902346,0.303446577,0.412082587,0.618004126,0.763995053,0.190172923,0.803022762
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_100-50,EMB_triplet_3_256_16_0.5_100-50,0.192974788,0.201106688,0.212434452,0.25551509,0.315309772,0.439036486,0.55186508,0.313565902,0.680643858
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_100-100,EMB_triplet_3_256_16_0.5_100-100,0.18822283,0.195961091,0.207006154,0.249013782,0.301095013,0.409189762,0.518306253,0.344127459,0.651379002
3,256,8,0.5,8,MOD_triplet_3_256_8_0.5_50-50,EMB_triplet_3_256_8_0.5_50-50,0.020256927,0.02537015,0.049858663,0.15880437,0.292760429,0.561145783,0.754003518,0.21762923,0.773694408
3,256,8,0.5,8,MOD_triplet_3_256_8_0.5_50-100,EMB_triplet_3_256_8_0.5_50-100,0.021282138,0.028543221,0.05422111,0.161988402,0.297100923,0.56072764,0.761094014,0.205577768,0.783225514
3,256,8,0.5,8,MOD_triplet_3_256_8_0.5_100-50,EMB_triplet_3_256_8_0.5_100-50,0.016542835,0.022072288,0.03439708,0.086400036,0.148456286,0.282576644,0.403159053,0.420929563,0.572975066
3,256,8,0.5,8,MOD_triplet_3_256_8_0.5_100-100,EMB_triplet_3_256_8_0.5_100-100,0.012758354,0.019357705,0.035509597,0.085061457,0.147853485,0.27388718,0.388820955,0.427582861,0.566285396
3,256,16,0.9,16,MOD_triplet_3_256_16_0.9_50-50,EMB_triplet_3_256_16_0.9_50-50,0.079112412,0.110448259,0.178639495,0.306974734,0.409267134,0.619781867,0.783388158,0.185929323,0.806790878
3,256,16,0.9,16,MOD_triplet_3_256_16_0.9_50-100,EMB_triplet_3_256_16_0.9_50-100,0.020202091,0.038292764,0.117830446,0.257346282,0.380821504,0.60781556,0.754511716,0.198226632,0.795388851
3,256,16,0.9,16,MOD_triplet_3_256_16_0.9_100-50,EMB_triplet_3_256_16_0.9_100-50,0.080235649,0.105656636,0.174070736,0.242958779,0.309810771,0.420845116,0.542847145,0.319113547,0.676235008
3,256,16,0.9,16,MOD_triplet_3_256_16_0.9_100-100,EMB_triplet_3_256_16_0.9_100-100,0.041707536,0.056767221,0.123009202,0.219425163,0.295195003,0.408818698,0.509345203,0.340088706,0.656334112
3,256,8,0.9,8,MOD_triplet_3_256_8_0.9_50-50,EMB_triplet_3_256_8_0.9_50-50,0.006067763,0.011869335,0.043910676,0.164506896,0.303545773,0.566722898,0.762033004,0.209297025,0.773587583
3,256,8,0.9,8,MOD_triplet_3_256_8_0.9_50-100,EMB_triplet_3_256_8_0.9_50-100,0.005786565,0.011422355,0.044442154,0.168542884,0.319067144,0.609720659,0.816945486,0.192174645,0.800479673
3,256,8,0.9,8,MOD_triplet_3_256_8_0.9_100-50,EMB_triplet_3_256_8_0.9_100-50,0.019022461,0.022576812,0.042771029,0.118928708,0.205299333,0.3639912,0.50019726,0.357446802,0.6236236
3,256,8,0.9,8,MOD_triplet_3_256_8_0.9_100-100,EMB_triplet_3_256_8_0.9_100-100,0.01296293,0.017272159,0.039381472,0.115240636,0.207973286,0.384272252,0.533258326,0.33546117,0.63760427
3,256,32,0.5,32,MOD_triplet_3_256_32_0.5_50-50,EMB_triplet_3_256_32_0.5_50-50,0.196109624,0.199332583,0.218244934,0.302813975,0.409628359,0.609110369,0.754426999,0.194219703,0.799352114
3,256,32,0.5,32,MOD_triplet_3_256_32_0.5_50-100,EMB_triplet_3_256_32_0.5_50-100,0.206466086,0.213395727,0.232792686,0.31633804,0.406532998,0.61023693,0.769681689,0.200267988,0.802251838
3,256,32,0.5,32,MOD_triplet_3_256_32_0.5_100-50,EMB_triplet_3_256_32_0.5_100-50,0.188832933,0.191145437,0.201251423,0.241486401,0.30620255,0.434067763,0.54103581,0.32115814,0.678602572
3,256,32,0.5,32,MOD_triplet_3_256_32_0.5_100-100,EMB_triplet_3_256_32_0.5_100-100,0.201389761,0.206129238,0.214800845,0.257815561,0.310544961,0.414596536,0.531188515,0.32697672,0.670202421
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_50-50,EMB_triplet_3_256_16_0.5_50-50,0.012718423,0.0180227,0.039040936,0.111300779,0.202053537,0.378600501,0.55776182,0.285481754,0.70720979
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_50-100,EMB_triplet_3_256_16_0.5_50-100,0.015440942,0.021331453,0.042098574,0.113948782,0.20490931,0.385073017,0.55904381,0.283980988,0.708374992
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_100-50,EMB_triplet_3_256_16_0.5_100-50,0.021265794,0.022695689,0.034617924,0.086853163,0.150477608,0.274288883,0.404847735,0.407334184,0.582780964
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_100-100,EMB_triplet_3_256_16_0.5_100-100,0.018745093,0.022584627,0.036424502,0.089843868,0.157423513,0.295048874,0.430569899,0.39154912,0.597837278
